measured_at,IGCC.IG.II1211A.PV/PLOT,IGCC.IG.TT1228A.PV/PLOT,IGCC.IG.YI1593AA.PV/PLOT,IGCC.IG.TT1227A.PV/PLOT,IGCC.IG.YI1593AB.PV/PLOT,IGCC.IG.YI1594AA.PV/PLOT,IGCC.IG.YI1594AB.PV/PLOT,IGCC.IG.II1211B.PV/PLOT,IGCC.IG.TT1228B.PV/PLOT,IGCC.IG.YI1593BA.PV/PLOT,IGCC.IG.TT1227B.PV/PLOT,IGCC.IG.YI1593BB.PV/PLOT,IGCC.IG.YI1594BA.PV/PLOT,IGCC.IG.YI1594BB.PV/PLOT,IGCC.IG.II1442.PV/PLOT,IGCC.IG.TT1427.PV/PLOT,IGCC.IG.YI1483A.PV/PLOT,IGCC.IG.TT1428.PV/PLOT,IGCC.IG.YI1483B.PV/PLOT,IGCC.IG.YI1484A.PV/PLOT,IGCC.IG.YI1484B.PV/PLOT,IGCC.IG.II7140.PV/PLOT,IGCC.IG.TT7111.PV/PLOT,IGCC.IG.YI7364A.PV/PLOT,IGCC.IG.TT7100.PV/PLOT,IGCC.IG.YI7364B.PV/PLOT,IGCC.IG.YI7365A.PV/PLOT,IGCC.IG.YI7365B.PV/PLOT,IGCC.IG.II7145.PV/PLOT,IGCC.IG.TT7152.PV/PLOT,IGCC.IG.YI7358A.PV/PLOT,IGCC.IG.TT7151.PV/PLOT,IGCC.IG.YI7358B.PV/PLOT,IGCC.IG.YI7359A.PV/PLOT,IGCC.IG.YI7359B.PV/PLOT
2025-12-30 00:00:00,-1.671296,18.34682,0.6055368,16.40222,0.5596373,0.5255854,0.5865947,848.6495,61.05754,15.16997,61.35383,15.25669,7.138248,9.644954,463.0703,56.19115,22.53,49.51368,21.30507,20.59613,29.51177,-1.437196,17.75137,0.9373822,14.81445,0.9404129,0.9721678,0.9402185,228.4889,62.83168,11.82519,53.63493,10.35692,5.684434,6.172957
2025-12-30 00:01:00,-1.644768,18.40923,0.5849774,16.43534,0.56648,0.5340909,0.5725733,846.5609,60.52556,15.21215,61.77976,15.14576,7.282239,9.690308,462.0427,56.19717,22.28993,49.50602,21.40279,20.24297,29.46642,-1.443135,17.62003,0.9768115,14.74447,0.9323958,1.000125,0.9870486,227.844,62.85617,11.79945,53.60358,10.40518,5.66325,6.133757
2025-12-30 00:02:00,-1.527155,18.43753,0.5702531,16.38913,0.5799782,0.5310177,0.5728242,846.329,60.52737,15.36263,61.56007,15.26933,7.168796,9.651082,461.4671,56.18363,22.35589,49.51629,21.40704,20.26038,29.45125,-1.381064,17.49613,0.9289304,14.8025,0.9406352,0.9966563,0.9257711,228.6541,62.8774,11.70176,53.62484,10.33858,5.877038,6.111899
2025-12-30 00:03:00,-1.620863,18.44509,0.5897025,16.43523,0.6023318,0.5453035,0.555199,846.2997,60.70285,15.30827,61.85964,15.25099,7.268783,9.66036,460.06,56.21587,22.46384,49.51528,21.6422,20.51138,29.46115,-1.447869,17.61729,0.9665343,14.83128,0.9500624,0.9745727,0.924898,228.3976,62.86535,11.75007,53.62635,10.37793,5.661695,6.145782
2025-12-30 00:04:00,-1.6699,18.45297,0.6020709,16.47852,0.5729768,0.5336734,0.5584715,846.7413,60.80393,15.24698,61.97081,15.28112,7.23871,9.657272,460.6292,56.2023,22.5287,49.51769,21.59118,20.60545,29.36917,-1.457298,17.56944,0.9523273,14.84961,0.9249217,1.004275,0.9571886,228.2932,62.87993,11.70321,53.62624,10.34852,5.732228,6.164116
2025-12-30 00:05:00,-1.345682,18.47498,0.5849155,16.39717,0.5798474,0.5287215,0.5428938,846.6894,61.06305,15.33677,62.08946,15.26889,7.174751,9.647614,461.9437,56.20374,22.36024,49.51768,21.30401,20.40688,29.31229,-1.395922,17.51521,1.022867,14.75012,0.9354508,1.020098,0.9555206,228.2366,62.89037,11.72184,53.61942,10.38785,5.798717,6.215205
2025-12-30 00:06:00,-1.700521,18.50244,0.6169434,16.40552,0.5796108,0.5357082,0.5559856,847.3069,61.17217,15.21416,62.10918,15.21492,7.151331,9.652361,462.974,56.17572,22.53309,49.50002,21.2914,20.59114,29.40449,-1.417232,17.66433,0.9625211,14.93506,0.9715378,1.00512,0.9547173,228.6486,62.88586,11.74026,53.63854,10.29207,5.673617,6.119516
2025-12-30 00:07:00,-1.525943,18.45696,0.6346962,16.40399,0.5797347,0.5308136,0.5330451,848.067,60.57143,15.22061,61.813,15.15233,7.14458,9.680156,462.9363,56.18401,22.49744,49.50181,21.13529,20.32973,29.36,-1.561732,17.58387,0.9753091,14.83955,0.9608648,0.9963279,0.9586186,228.8634,62.8778,11.75863,53.62395,10.32672,5.7119,6.26252
2025-12-30 00:08:00,-1.470758,18.37205,0.5828806,16.43869,0.5674824,0.530897,0.5917808,846.362,60.58817,15.35965,61.6852,15.17694,7.094555,9.688438,462.0947,56.20366,22.32274,49.52236,21.31962,20.13509,29.34349,-1.373637,17.65003,0.9668145,14.86105,0.9230666,0.9803098,0.9637529,228.1708,62.88979,11.72693,53.62632,10.39739,5.890003,6.245011
2025-12-30 00:09:00,-1.566442,18.43961,0.5853687,16.48217,0.5749952,0.5263794,0.5740166,847.5129,60.78608,15.19577,61.77242,15.2556,7.212677,9.703296,461.3141,56.20551,22.59111,49.53346,21.24312,20.11695,29.31638,-1.509977,17.59086,0.9595519,14.84504,0.963573,0.9878109,0.9280084,228.0031,62.89866,11.8048,53.63897,10.36675,5.897208,6.317811
2025-12-30 00:10:00,-1.58883,18.41648,0.5820589,16.46075,0.60026,0.5306244,0.5643618,846.9315,61.05432,15.2876,61.80667,15.25456,7.114813,9.669902,460.9269,56.21934,22.43989,49.62754,21.49236,20.11539,29.32509,-1.495324,17.6262,0.9683385,14.85757,0.9719903,0.9693968,0.9575844,228.0967,62.90615,11.79411,53.66192,10.3485,5.837809,6.16523
2025-12-30 00:11:00,-1.581818,18.40248,0.5881714,16.45356,0.5770319,0.5309257,0.5807363,845.6015,60.75551,15.24161,62.26118,15.2002,7.113529,9.666586,460.9802,56.20881,22.61888,49.61014,21.57609,20.15578,29.40148,-1.537415,17.7101,0.9649652,14.75792,0.932531,1.003252,0.9555718,228.4729,62.89571,11.65719,53.64034,10.39153,5.72417,6.16079
