time,SGC OUT TEMP,HPHT FSH FLTR DP-A,GF VSS PRESS TAP/ANSP DP,MP Steam Flow,MP STM DRUM IN FW FLW,MP Balance,Heat Duty,IG Load %,Demi Water Trans Pump Discharge Flow,Differential Pressure Gradient,SGC OUT TEMP MA 1D
2024-10-11 12:00:00,286.57,171.64,191.31,13.04,13.89,1.06,12459.36,80.03,0.26,-0.85,284.2675
2024-10-11 13:00:00,285.66,170.6,190.27,12.47,13.11,1.05,11814.45,78.23,91.53,-0.64,284.3033333
2024-10-11 14:00:00,290.51,175.35,214.5,14.22,14.34,1.01,12531.42,90.83,0.29,-0.12,284.38375
2024-10-11 15:00:00,285.86,169.08,204.24,13.04,14.27,1.09,12081.4,80.79,1.11,-1.23,284.6575
2024-10-11 16:00:00,286.99,171.88,209.06,13.29,13.77,1.04,12090.96,84.34,13.15,-0.48,284.8029167
2024-10-11 17:00:00,286.6,171.23,208.32,13.34,14.16,1.06,12424.85,84.61,84.33,-0.82,285.0475
2024-10-11 18:00:00,288.34,181.35,206.39,12.61,13.52,1.07,12026.1,83.79,84.91,-0.91,285.1204167
2024-10-11 19:00:00,286.28,173.8,209.73,12.88,13.55,1.05,12017.95,83.83,30.49,-0.67,285.3395833
2024-10-11 20:00:00,287.61,170.34,209.64,13.19,14.22,1.07,12338.63,83.55,0.23,-1.03,285.5970833
2024-10-11 21:00:00,289.51,171.68,206.07,12.94,13.68,1.06,12040.69,82.76,6.54,-0.74,285.8458333
2024-10-11 22:00:00,288.13,171.68,207.7,12.71,13.51,1.06,11896.86,82.77,85.21,-0.8,286.1025
2024-10-11 23:00:00,289.68,175.11,209.95,12.69,13.38,1.05,11663.94,82.7,95.18,-0.69,286.1870833
2024-10-12 00:00:00,289.65,176.24,206.47,12.52,13.37,1.07,11671.16,83.24,0.23,-0.85,286.2979167
2024-10-12 01:00:00,288.78,176.57,206.42,12.5,13.36,1.07,11154.07,82.87,0.23,-0.86,286.655
2024-10-12 02:00:00,289.84,178.16,204.61,12.23,13.15,1.08,11406.52,82.53,85.44,-0.92,286.7983333
2024-10-12 03:00:00,289.21,175.13,201.44,12.81,13.15,1.03,11423.72,84.98,102.36,-0.34,286.8995833
2024-10-12 04:00:00,292.98,180.44,197.81,12.65,13.53,1.07,11380.59,83.92,0.23,-0.88,287.13875
2024-10-12 05:00:00,291.53,178.69,195.88,12.63,13.22,1.04,11113.06,83.52,19.76,-0.59,287.6916667
2024-10-12 06:00:00,289.91,175.47,198.92,12.42,13.28,1.07,11453.65,83.41,95.46,-0.86,287.965
2024-10-12 07:00:00,290.26,178.75,201.22,12.32,13.65,1.1,11249.24,84.45,88.02,-1.33,288.0804167
2024-10-12 08:00:00,290.57,174.89,196.69,12.41,12.96,1.04,11035.85,82.0,85.96,-0.55,288.415
2024-10-12 09:00:00,293.75,173.52,193.44,12.46,13.0,1.04,11142.13,83.05,0.23,-0.54,288.8383333
2024-10-12 10:00:00,296.92,177.65,192.03,12.29,13.16,1.07,11277.0,82.13,0.24,-0.87,289.08625
2024-10-12 11:00:00,294.33,171.2,192.84,12.3,13.14,1.07,11212.89,82.75,82.71,-0.84,289.3795833
2024-10-12 12:00:00,294.11,172.55,194.89,12.32,13.33,1.08,11202.48,84.23,82.9,-1.01,289.56125
2024-10-12 13:00:00,297.43,176.42,186.87,12.76,13.49,1.06,11389.1,82.87,0.27,-0.73,289.8754167
